Session1,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,294.074533550335,0.7862792993489213,1.1746229952404488,0.23022610706712796,1.0629837009229728,1.5800707908748708,0.30969387501147466
,Block2,301.8844233341639,1.5895181148867212,1.8603882023056955,0.3646360876519163,1.6280226585130504,1.6943829794719967,0.33209906397651134


Session2,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,292.6200418801391,0.7377708963210734,1.2061404277408863,0.23640352383721366,0.817068275575557,1.149469355151285,0.2252959936096518
,Block2,300.011777537448,1.9373647889468004,1.8688306416528084,0.36629080576395046,1.5006018167334005,1.6641724060972025,0.32617779159505167


Session3,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,294.69250515066176,1.1459618607405586,1.5256930305109797,0.299035833980152,1.2168305319111643,1.4079299295819951,0.27595426619807106
,Block2,303.1444467855044,1.87237599331632,1.7351303865736019,0.340085555768426,1.243318639405456,1.7537182264756184,0.3437287723892212


Session4,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,295.60115244434667,0.9006811510936303,1.5728210989475078,0.3082729353937115,1.2054678537141648,1.6657462770342881,0.32648627029872046
,Block2,302.08793298359757,1.9240739990065578,2.1157304809978363,0.4146831742755759,1.524940529226169,1.8149423339253647,0.35572869744937147


Session5,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,291.58782189572094,0.8223728723889469,1.2307753415867737,0.24123196695100768,1.0754252276744167,1.4529869906525852,0.28478545016790674
,Block2,301.3633530130392,1.5259802006893866,1.763884163725104,0.34572129609012037,1.636218156323451,1.8171286606181634,0.35615721748115997


Session6,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,292.73354555827825,0.647036597356893,1.1485353283429875,0.22511292435522556,1.1344373994936638,1.6539706197578137,0.32417824147253144
,Block2,300.4066118704487,2.0289526819430392,2.119205007498955,0.4153641814697952,1.0757184705712224,1.4920606485989978,0.2924438871254036


Session7,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,293.376793726577,0.8289722654441122,1.2837675316783543,0.25161843620895746,1.100381411406034,1.5450801402956351,0.3028357074979445
,Block2,301.32926609860533,2.2146344629031547,2.151427291917291,0.42167974921578905,1.5918376168707524,1.8825127390997245,0.368972496863546


Session8,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,293.58142347570265,0.9612177895315592,1.4886678157537225,0.2917788918877296,1.1801952640548745,1.5783210289137057,0.30935092166708633
,Block2,302.2024831754925,1.8302729834103546,1.8005882033056468,0.35291528784790677,1.4748699650168726,1.644173616386894,0.32225802881183124


Session9,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,292.8251301060027,0.8035220100590417,1.3046451917441224,0.25571045758184796,1.1126614335439782,1.5348569958167269,0.3008319711800785
,Block2,300.4269998609152,1.3351283220642096,1.5959515678517764,0.3128065072989482,1.3670157803726797,1.7360919364013465,0.34027401953466385


Session10,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,294.39188555978944,1.1545488547549934,1.445904008695611,0.2833971857043398,1.406686202528206,1.7069626281051316,0.33456467510860577
,Block2,300.3026473610953,1.998488993874301,2.254988489713312,0.4419777439838091,1.468179086970863,1.6767346687165139,0.3286399950684367


Session11,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,292.6661725198346,0.8268956862504355,1.2075487634960937,0.23667955764523438,0.9847639204535779,1.3471073235444777,0.2640330354147176
,Block2,300.69871195555606,1.8287801501317948,1.8068293057929945,0.35413854393542693,1.675978302597472,1.7997809226915202,0.35275706084753794


Session12,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,294.0112031790477,0.8630840263977915,1.4787116984341269,0.2898274928930888,1.2156761758824555,1.6156703096527625,0.31667138069194145
,Block2,301.92992321446127,2.0754054194394698,2.0380340192080038,0.3994546677647688,1.6186078717195063,1.8847457910785397,0.36941017505139373


Session13,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,292.32704028178887,0.674615171877448,1.2783756180848436,0.2505616211446293,1.255067603526146,1.3326928417340143,0.2612077969798668
,Block2,298.65571851575623,1.6666555886222019,1.845673309158132,0.36175196859499387,1.3075499591267365,1.7519274749395395,0.3433777850881497


Session14,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,293.40102622810264,0.9191335959469076,1.361541715225351,0.2668621761841688,1.198765642177095,1.6208063129820476,0.31767803734448136
,Block2,298.4557350266641,1.6602750789748828,2.0812536481710593,0.4079257150415276,1.6699333420490152,1.9974467503710582,0.39149956307272743


Session15,Block#,Alert RT Medain,% L Mean,% L SD,95% CI, % FS Mean,% FS SD,% FS 95% CI
,Block1,293.3810677413203,0.959168509106465,1.3741820773266251,0.2693396871560185,1.1416409696950074,1.539728626227548,0.30178681074059943
