0	3.841
1	3.841
2	3.841
3	3.841
4	3.841
5	3.841
6	3.841
7	3.841
8	3.841
9	4.028
10	4.206
11	4.370
12	4.509
13	4.603
14	4.631
15	4.578
16	4.445
17	4.266
18	4.102
19	4.035
20	4.143
21	4.482
22	5.020
23	4.079
24	3.714
25	3.601
26	3.576
27	3.568
28	3.549
29	3.512
30	3.458
31	3.390
32	3.320
33	3.497
34	3.674
35	3.843
36	4.000
37	4.137
38	4.241
39	4.302
40	4.311
41	4.274
42	4.222
43	4.213
44	4.323
45	4.625
46	5.106
47	4.121
48	3.691
49	3.514
50	3.436
51	3.385
52	3.335
53	3.276
54	3.207
55	3.131
56	3.056
57	3.233
58	3.408
59	3.577
60	3.735
61	3.873
62	3.981
63	4.048
64	4.066
65	4.040
66	3.997
67	3.993
68	4.103
69	4.400
70	4.874
71	3.882
72	3.445
73	3.263
74	3.182
75	3.131
76	3.083
77	3.027
78	2.964
79	2.893
80	2.824
81	3.002
82	3.178
83	3.347
84	3.505
85	3.644
86	3.754
87	3.822
88	3.841
89	3.817
90	3.775
91	3.773
92	3.883
93	4.179
94	4.652
95	3.661
96	3.225
97	3.046
98	2.969
99	2.923
100	2.880
101	2.831
102	2.773
103	2.708
104	2.646
105	2.824
106	3.001
107	3.171
108	3.329
109	3.469
110	3.578
111	3.647
112	3.667
113	3.643
114	3.602
115	3.600
116	3.710
117	4.006
118	4.479
119	3.489
120	3.056
121	2.880
122	2.807
123	2.765
124	2.727
125	2.682
126	2.629
127	2.569
128	2.512
129	2.690
130	2.867
131	3.038
132	3.197
133	3.336
134	3.447
135	3.516
136	3.536
137	3.512
138	3.471
139	3.469
140	3.579
141	3.876
142	4.338
143	3.352
144	2.922
145	2.751
146	2.681
147	2.644
148	2.609
149	2.568
150	2.519
151	2.464
152	2.411
153	2.589
154	2.767
155	2.938
156	3.097
157	3.237
158	3.347
159	3.416
160	3.435
161	3.411
162	3.369
163	3.367
164	3.477
165	3.774
166	4.237
167	3.252
168	2.824
169	2.655
170	2.589
171	2.554
172	2.522
173	2.484
174	2.438
175	2.385
176	2.335
177	2.514
178	2.692
179	2.863
180	3.023
181	3.163
182	3.273
183	3.342
184	3.362
185	3.337
186	3.296
187	3.293
188	3.403
189	3.700
190	4.164
191	3.179
192	2.753
193	2.585
194	2.520
195	2.487
196	2.458
197	2.422
198	2.378
199	2.327
200	2.279
201	2.458
202	2.637
203	2.808
204	2.967
205	3.108
206	3.218
207	3.287
208	3.307
209	3.282
210	3.241
211	3.238
212	3.349
213	3.646
214	4.109
215	3.125
216	2.700
217	2.533
218	2.469
219	2.438
220	2.410
221	2.376
222	2.333
223	2.284
224	2.237
225	2.417
226	2.595
227	2.766
228	2.926
229	3.066
230	3.177
231	3.246
232	3.266
233	3.241
234	3.200
235	3.197
236	3.308
237	3.605
238	4.068
239	3.085
240	2.660
241	2.494
242	2.431
243	2.401
244	2.374
245	2.341
246	2.300
247	2.251
248	2.206
249	2.385
250	2.564
251	2.735
252	2.895
253	3.035
254	3.146
255	3.215
256	3.235
257	3.210
258	3.169
259	3.167
260	3.277
261	3.574
262	4.049
263	3.062
264	2.636
265	2.469
266	2.406
267	2.376
268	2.350
269	2.317
270	2.276
271	2.229
272	2.183
273	2.362
274	2.541
275	2.712
276	2.872
277	3.013
278	3.124
279	3.193
280	3.214
281	3.190
282	3.150
283	3.148
284	3.259
285	3.555
286	4.029
287	3.043
288	2.616
289	2.450
290	2.387
291	2.357
292	2.330
293	2.298
294	2.258
295	2.211
296	2.165
297	2.345
298	2.523
299	2.695
300	2.855
301	2.995
302	3.106
303	3.176
304	3.197
305	3.174
